date,day,model,risk_of_additional_cases,monte_carlo_standard_error,risk_of_sustained_transmission,sustained_transmission_monte_carlo_standard_error
2018-04-06,1,ssi,0.28234367654630754,0.0008669906274182965,0.07610112822119164,0.001745565955089059
2018-04-07,2,ssi,0.27094514095457445,0.0010835840962897477,0.06687490171071042,0.0013357376711431775
2018-04-08,3,ssi,0.9165258855007034,0.0009994295820796991,0.4641501757252373,0.0038657040089402493
2018-04-09,4,ssi,0.8938483899034796,0.0011361099733187272,0.3949795765540829,0.0036122410918348986
2018-04-10,5,ssi,0.8653022782697257,0.0008232854217919541,0.3337240603593947,0.0028557132244095102
2018-04-11,6,ssi,0.8345990289389431,0.004321411632692344,0.2753109701042845,0.003770206789716533
2018-04-12,7,ssi,0.9988462605429701,9.439811837883974e-05,0.7644705968547489,0.005842150190790659
2018-04-13,8,ssi,0.999498383460179,7.355709114375174e-05,0.7870789249632344,0.0032223251460178595
2018-04-14,9,ssi,0.9987650752318517,9.780982046085053e-05,0.7098541877940757,0.004408610456149466
2018-04-15,10,ssi,0.9973588647938099,0.00015060424041883792,0.6218269993153778,0.007209239786506994
2018-04-16,11,ssi,0.9947672522039722,0.00023866682187570842,0.5480512618136291,0.006449876112877028
2018-04-17,12,ssi,0.9902604724699504,0.0003907844610680042,0.4712819229979359,0.003383127691428822
2018-04-18,13,ssi,0.9946024065951345,0.0002595010566468641,0.5132999868625301,0.003154667477507894
2018-04-19,14,ssi,0.9966189149402755,0.00010453987385308868,0.5640716492887266,0.004722789447032689
2018-04-20,15,ssi,0.9976893954381909,5.747945110290836e-05,0.5984420788113636,0.008229667541030767
2018-04-21,16,ssi,0.9984818188723041,4.950263196322024e-05,0.6253497413473087,0.008054003221739506
2018-04-22,17,ssi,0.9969054100049608,8.271911155826762e-05,0.5464543059123892,0.001488237040709253
2018-04-23,18,ssi,0.9977023777623351,0.00016066393024820541,0.5779468943980615,0.00617703192582613
2018-04-24,19,ssi,0.9984260920458626,7.798303426215083e-05,0.6133770771510668,0.0029859888879907254
2018-04-25,20,ssi,0.9987838110377475,2.7031524734074157e-05,0.6264674340730758,0.004415940033153439
2018-04-26,21,ssi,0.9971527718217146,0.00013972785454612624,0.5430127314552233,0.007319587680896945
2018-04-27,22,ssi,0.9978477030019848,5.447324203956692e-05,0.5761673373322499,0.003505835314850935
2018-04-28,23,ssi,0.9958200554575392,8.956722324030256e-05,0.5048285400879928,0.002806238595925263
2018-04-29,24,ssi,0.9913881463196781,0.00023747888741438368,0.42941899878573453,0.004735205936466363
2018-04-30,25,ssi,0.9850141506513165,0.0003695741375185695,0.36770599987769004,0.0032794594050749456
2018-05-01,26,ssi,0.9959964986635577,0.00011118720709246181,0.5137976877828972,0.0028185620619292895
2018-05-02,27,ssi,0.9923026072490015,0.00020450155882723714,0.44537297839091716,0.004592726209476539
2018-05-03,28,ssi,0.9982025102589842,6.976584535119061e-05,0.5987667967118218,0.0015871144939339976
2018-05-04,29,ssi,0.9999985252150229,2.1524868279626704e-07,0.9260728840122654,0.0019230127796651527
2018-05-05,30,ssi,0.9999997477490598,1.0283841278636609e-07,0.939212849391551,0.00303745191393568
2018-05-06,31,ssi,0.9999990521306649,3.162972526507094e-07,0.9104488270196701,0.0027898065695993557
2018-05-07,32,ssi,0.999998824535626,1.8876272501974017e-07,0.8868126357875556,0.004093859622299695
2018-05-08,33,ssi,0.9999970281094056,1.1527676968285898e-06,0.8842519981182974,0.0031266764165686738
2018-05-09,34,ssi,0.999995780930169,8.856379732114054e-07,0.8933739713965774,0.00241885007983258
2018-05-10,35,ssi,0.999998291178212,2.854590761258294e-07,0.8835431607957402,0.0028086452883141545
2018-05-11,36,ssi,0.9999968859776819,6.780724691888361e-07,0.8870607571052336,0.002755063489585666
2018-05-12,37,ssi,0.9999939299046126,9.676472105421398e-07,0.8796838855325121,0.004965810534510084
2018-05-13,38,ssi,0.9999932824967508,4.178069755571586e-06,0.8850042086543912,0.0022691061029471117
2018-05-14,39,ssi,0.9999908714087649,4.503328190930976e-06,0.8900082643645356,0.005643237463944196
2018-05-15,40,ssi,0.9999992574253256,2.3816134802245768e-07,0.9034797591002494,0.0025955285981263095
2018-05-16,41,ssi,0.9999997958065631,5.035265049977116e-08,0.915623034391906,0.0023288493173859648
2018-05-17,42,ssi,0.9999982251087208,1.887335420878116e-07,0.899556492265356,0.0021551773745627904
2018-05-18,43,ssi,0.9999991966722586,2.6297576320261857e-07,0.9012071656768534,0.004689297482646456
2018-05-19,44,ssi,0.9999979853027698,1.1646996924617736e-06,0.8953423150737625,0.0021723800301200187
2018-05-20,45,ssi,0.9999998618774343,6.77506532867646e-08,0.9204701300746942,0.002129546733468878
2018-05-21,46,ssi,0.9999998463786391,4.3538102195846195e-08,0.9153927004178197,0.0015107658383997095
2018-05-22,47,ssi,0.9999988284221668,4.022497377606519e-07,0.8942981083984274,0.005765440987138969
2018-05-23,48,ssi,0.9999971347683225,1.2727040969197266e-07,0.8748679089091201,0.005719908584419018
2018-05-24,49,ssi,0.9999910937683455,2.13909274052424e-06,0.8504343023515346,0.0009010125701255595
2018-05-25,50,ssi,0.9999631707486969,2.974476757100368e-06,0.8204294459069458,0.005285160830977505
2018-05-26,51,ssi,0.9999257761776493,1.612303248853041e-05,0.7933659607023358,0.003108413313571821
2018-05-27,52,ssi,0.9998417162931313,2.657398731650662e-05,0.7666179555551736,0.0056258577969165915
2018-05-28,53,ssi,0.9997999274956227,2.5124749211381772e-05,0.7681087137235527,0.003312380360666862
2018-05-29,54,ssi,0.9995794208350118,4.297886728356971e-05,0.7347279179276274,0.005448190142768155
2018-05-30,55,ssi,0.9992891910212811,3.314878430220303e-05,0.7084145010878582,0.0031750270158830804
